"Name","Hex","String"
"ABACUS","1F9EE","🧮"
"AC CURRENT","23E6","⏦"
"ACCORDION","1FA97","🪗"
"ACCOUNT OF","2100","℀"
"ACTIVATE ARABIC FORM SHAPING","206D","⁭"
"ACTIVATE SYMMETRIC SWAPPING","206B","⁫"
"ACUTE ACCENT","00B4","´"
"ACUTE ANGLE","299F","⦟"
"ADDRESSED TO THE SUBJECT","2101","℁"
"ADHESIVE BANDAGE","1FA79","🩹"
"ADI SHAKTI","262C","☬"
"ADLAM ALIF LENGTHENER","1E944","𞥄"
"ADLAM CAPITAL LETTER ALIF","1E900","𞤀"
"ADLAM CAPITAL LETTER BA","1E904","𞤄"
"ADLAM CAPITAL LETTER BHE","1E907","𞤇"
"ADLAM CAPITAL LETTER CHI","1E915","𞤕"
"ADLAM CAPITAL LETTER DAALI","1E901","𞤁"
"ADLAM CAPITAL LETTER DHA","1E90D","𞤍"
"ADLAM CAPITAL LETTER E","1E909","𞤉"
"ADLAM CAPITAL LETTER FA","1E90A","𞤊"
"ADLAM CAPITAL LETTER GA","1E918","𞤘"
"ADLAM CAPITAL LETTER GBE","1E91E","𞤞"
"ADLAM CAPITAL LETTER HA","1E916","𞤖"
"ADLAM CAPITAL LETTER I","1E90B","𞤋"
"ADLAM CAPITAL LETTER JIIM","1E914","𞤔"
"ADLAM CAPITAL LETTER KAF","1E911","𞤑"
"ADLAM CAPITAL LETTER KHA","1E91D","𞤝"
"ADLAM CAPITAL LETTER KPO","1E920","𞤠"
"ADLAM CAPITAL LETTER LAAM","1E902","𞤂"
"ADLAM CAPITAL LETTER MIIM","1E903","𞤃"
"ADLAM CAPITAL LETTER NHA","1E91B","𞤛"
"ADLAM CAPITAL LETTER NUN","1E910","𞤐"
"ADLAM CAPITAL LETTER NYA","1E919","𞤙"
"ADLAM CAPITAL LETTER O","1E90C","𞤌"
"ADLAM CAPITAL LETTER PE","1E906","𞤆"
"ADLAM CAPITAL LETTER QAAF","1E917","𞤗"
"ADLAM CAPITAL LETTER RA","1E908","𞤈"
"ADLAM CAPITAL LETTER SHA","1E921","𞤡"
"ADLAM CAPITAL LETTER SINNYIIYHE","1E905","𞤅"
"ADLAM CAPITAL LETTER TU","1E91A","𞤚"
"ADLAM CAPITAL LETTER U","1E913","𞤓"
"ADLAM CAPITAL LETTER VA","1E91C","𞤜"
"ADLAM CAPITAL LETTER WAW","1E90F","𞤏"
"ADLAM CAPITAL LETTER YA","1E912","𞤒"
"ADLAM CAPITAL LETTER YHE","1E90E","𞤎"
"ADLAM CAPITAL LETTER ZAL","1E91F","𞤟"
"ADLAM CONSONANT MODIFIER","1E948","𞥈"
"ADLAM DIGIT EIGHT","1E958","𞥘"
"ADLAM DIGIT FIVE","1E955","𞥕"
"ADLAM DIGIT FOUR","1E954","𞥔"
"ADLAM DIGIT NINE","1E959","𞥙"
"ADLAM DIGIT ONE","1E951","𞥑"
"ADLAM DIGIT SEVEN","1E957","𞥗"
"ADLAM DIGIT SIX","1E956","𞥖"
"ADLAM DIGIT THREE","1E953","𞥓"
"ADLAM DIGIT TWO","1E952","𞥒"
"ADLAM DIGIT ZERO","1E950","𞥐"
"ADLAM GEMINATE CONSONANT MODIFIER","1E949","𞥉"
"ADLAM GEMINATION MARK","1E946","𞥆"
"ADLAM HAMZA","1E947","𞥇"
"ADLAM INITIAL EXCLAMATION MARK","1E95E","𞥞"
"ADLAM INITIAL QUESTION MARK","1E95F","𞥟"
"ADLAM NASALIZATION MARK","1E94B","𞥋"
"ADLAM NUKTA","1E94A","𞥊"
"ADLAM SMALL LETTER ALIF","1E922","𞤢"
"ADLAM SMALL LETTER BA","1E926","𞤦"
"ADLAM SMALL LETTER BHE","1E929","𞤩"
"ADLAM SMALL LETTER CHI","1E937","𞤷"
"ADLAM SMALL LETTER DAALI","1E923","𞤣"
"ADLAM SMALL LETTER DHA","1E92F","𞤯"
"ADLAM SMALL LETTER E","1E92B","𞤫"
"ADLAM SMALL LETTER FA","1E92C","𞤬"
"ADLAM SMALL LETTER GA","1E93A","𞤺"
"ADLAM SMALL LETTER GBE","1E940","𞥀"
"ADLAM SMALL LETTER HA","1E938","𞤸"
"ADLAM SMALL LETTER I","1E92D","𞤭"
"ADLAM SMALL LETTER JIIM","1E936","𞤶"
